Sample_Type,Trip_Number,Hormone,min_Control,median_Control,Q3_Control,max_Control,min_Treated,median_Treated,Q3_Treated,max_Treated
35,4,GA5,5.19,6.695,9.225,14.19,2.68,4.125,5.1175,5.2
171,1,GA5,17.27,22.505000000000003,24.6675,25.71,17.23,21.104999999999997,23.08,27.64
171,2,GA5,13.05,16.535,19.82,22.4,12.23,18.595,19.5325,21.94
171,3,GA5,14.9,26.765,27.8325,29.58,14.48,17.794999999999998,21.0875,21.38
171,4,GA5,17.92,22.335,22.49,22.61,14.2,22.985,23.79,24.21
402,1,GA5,19.78,20.130000000000003,21.405,24.45,13.9,15.190000000000001,19.8,32.25
402,2,GA5,16.39,23.14,25.5325,26.23,10.72,11.48,16.5,30.03
402,3,GA5,22.05,22.81,23.5475,25.22,6.9,19.4,22.4125,27.19
402,4,GA5,23.38,35.315,38.4275,46.91,13.68,18.91,26.294999999999998,36.54
609,1,GA5,8.0,14.504999999999999,16.8475,21.13,12.68,15.05,18.025,22.18
609,2,GA5,16.1,17.755,18.23,19.01,16.21,19.77,23.9575,28.33
609,3,GA5,39.24,44.42,50.0225,51.35,28.71,41.065,45.724999999999994,52.46
609,4,GA5,24.88,29.46,32.5575,36.36,25.39,28.479999999999997,30.842499999999998,31.9
680,1,GA5,13.6,15.25,16.08,17.34,11.33,12.67,13.8125,15.05
680,2,GA5,10.95,13.02,13.58,14.96,5.21,14.875,16.4225,19.34
680,3,GA5,14.65,17.75,23.1475,30.4,21.99,28.195,30.425,34.55
680,4,GA5,7.61,24.509999999999998,31.84,41.8,26.47,34.91,37.114999999999995,40.31
698,1,GA5,5.54,6.21,7.2075,8.58,2.15,5.21,6.26,7.79
698,2,GA5,4.75,6.175000000000001,8.5725,14.7,3.41,5.765000000000001,5.955,6.18
698,3,GA5,9.53,12.34,22.2925,51.01,4.82,9.305,10.565000000000001,11.57
698,4,GA5,9.25,10.785,11.3825,12.47,8.58,10.415,12.1875,17.31
703,1,GA5,1.51,4.22,5.055,5.94,5.14,6.275,7.025,8.81
703,2,GA5,4.11,4.26,4.4725,4.69,6.39,6.63,6.9375,7.26
703,3,GA5,8.0,11.02,15.215,18.77,6.16,8.835,9.4475,9.71
703,4,GA5,4.86,7.119999999999999,7.925,8.27,7.29,8.23,8.685,9.03
735,1,GA5,9.59,10.74,11.555,11.93,2.94,8.98,9.965,11.36
735,2,GA5,7.48,8.58,9.215,9.68,7.61,10.14,11.4625,14.86
735,3,GA5,8.74,13.995000000000001,16.802500000000002,16.96,8.09,13.375,15.0375,18.9
735,4,GA5,17.3,23.945,32.8925,43.88,11.41,13.86,15.945,18.93
