Sample_Number;Sample_Name;GA4;GA1;GA7;GA3;GA5;GA34;GA8;ABA;JA;IAA;SA;DHZ;iP;tZ;Control;Hormone_Treated;Trip_Number
L345;GA3 - 171 - D;1.597;0.924;5.7;50.0;24.21;0.07;6.2;573.78;16.6;53.13;50.95;0.21;0.04;0.06;False;True;4
L346;GA4 - 171 - D;2.458;0.81;7.82;43.638;23.65;0.1;7.19;1104.75;8.19;23.97;48.06;0.16;0.04;0.04;False;True;4
L347;K1 - 703 - D;1.918;0.497;0.55;21.505;7.81;0.34;1.15;825.11;27.31;15.79;75.07;0.2;0.02;0.04;True;False;4
L348;K2 - 703 - D;4.212;0.461;0.25;22.745;4.86;0.38;1.47;660.95;23.55;10.1;59.99;0.25;0.01;0.06;True;False;4
L349;K3 - 703 - D;1.784;0.524;0.26;23.7;8.27;0.39;1.26;1002.5;13.61;10.37;56.63;0.25;0.02;0.04;True;False;4
L350;K4 - 703 - D;5.361;0.719;0.93;18.953;6.43;0.65;1.11;1341.93;18.13;9.47;50.1;0.24;0.02;0.05;True;False;4
L351;GA1 - 703 - D;1.806;0.508;0.67;20.8;9.03;0.33;1.04;685.64;15.16;13.98;74.15;0.27;0.02;0.05;False;True;4
L352;GA2 - 703 - D;2.315;0.664;1.32;16.512;7.89;0.59;0.91;817.67;15.66;8.99;40.36;0.27;0.02;0.04;False;True;4
L353;GA3 - 703 - D;1.886;0.651;1.3;12.17;8.57;0.36;0.77;1236.14;9.28;14.99;103.72;0.3;0.05;0.06;False;True;4
L354;GA4 - 703 - D;21.894;0.986;17.85;12.547;7.29;1.07;0.72;788.95;11.09;7.11;68.36;0.2;0.02;0.03;False;True;4
L355;K1 - 609 - D;0.997;0.926;1.35;15.788;36.36;0.21;2.39;762.64;10.39;13.09;195.24;0.31;0.04;0.04;True;False;4
L356;K2 - 609 - D;0.21;1.394;0.55;12.054;24.88;0.13;2.42;635.86;21.8;7.86;172.91;0.34;0.02;0.05;True;False;4
L357;K3 - 609 - D;0.199;1.153;;18.835;27.63;0.22;4.51;679.67;8.28;5.83;95.34;0.18;0.02;0.02;True;False;4
L358;K4 - 609 - D;0.69;1.354;0.35;12.48;31.29;0.21;1.86;1300.54;18.39;10.88;248.99;0.31;0.03;0.04;True;False;4
L359;GA1 - 609 - D;5.458;1.211;4.68;11.819;30.49;0.34;2.17;1219.44;52.22;10.12;202.77;0.24;0.04;0.03;False;True;4
L360;GA2 - 609 - D;0.449;1.401;0.96;15.826;25.39;0.08;2.6;902.3;30.42;25.18;181.65;0.35;0.03;0.04;False;True;4
L361;GA3 - 609 - D;0.602;1.02;0.33;13.364;31.9;0.19;2.77;954.52;6.69;14.53;203.1;0.25;0.04;0.03;False;True;4
L362;GA4 - 609 - D;3.768;1.698;5.89;16.05;26.47;0.22;1.64;739.99;47.62;14.79;208.06;0.34;0.04;0.04;False;True;4
L363;K1 - 35 - D;0.096;0.699;;15.863;5.19;0.15;1.11;135.54;4.72;4.69;80.98;0.25;0.05;0.05;True;False;4
L364;K2 - 35 - D;0.071;0.939;;18.526;14.19;0.11;1.91;299.79;14.16;10.31;236.99;0.3;0.07;0.06;True;False;4
L365;K3 - 35 - D;0.166;1.31;;11.271;5.82;0.21;1.01;86.49;12.19;9.86;211.41;0.27;0.04;0.06;True;False;4
L366;K4 - 35 - D;0.422;0.773;;8.17;7.57;0.19;0.85;689.86;12.53;5.42;194.88;0.27;0.05;0.04;True;False;4
L367;GA1 - 35 - D;2.389;1.42;1.31;3.143;2.68;0.13;0.25;106.7;11.65;5.85;117.5;0.26;0.03;0.06;False;True;4
L368;GA2 - 35 - D;90.853;1.484;61.57;3.896;3.16;1.16;0.19;113.27;12.74;2.8;132.93;0.34;0.05;0.06;False;True;4
L369;GA3 - 35 - D;0.37;1.25;0.18;5.785;5.2;0.16;0.54;326.12;2.4;3.37;262.5;0.32;0.08;0.07;False;True;4
L370;GA4 - 35 - D;0.392;0.887;0.28;7.117;5.09;0.11;0.41;437.01;12.81;5.92;250.89;0.31;0.08;0.06;False;True;4
